Activity Type,Distance,Calories,Avg HR,Max HR,Aerobic TE,Total Reps,Total Sets,Elapsed Time (hours),Total Calories,Steps,Goal_Achieved
Cardio,0,983,125,164,2.6,0,0,2.284,2925,7715,1
Calgary Running,2.65,168,139,165,2.5,0,0,0.295,2475,5125,0
Calgary Walking,1.28,107,104,125,0.2,0,0,0.372,3391,12229,1
Calgary Walking,0.82,178,88,126,0.2,0,0,0.772,3391,12229,1
Strength,0,902,108,145,1.4,460,50,2.932,3391,12229,1
Calgary Hockey,5.11,1020,151,187,3.8,0,0,1.435,3140,4009,0
Cardio,0,916,124,153,2.4,0,0,2.107,2901,6821,1
Cardio,0,633,142,174,3.2,0,0,0.966,2811,5493,0
Strength,0,528,116,178,2.4,373,27,1.254,2582,4158,0
Strength,0,82,126,143,0.9,32,6,0.143,2614,6315,1
Calgary Hockey,2.93,721,141,173,3.3,0,0,1.150,4018,21849,1
Calgary Hiking,12.85,1471,117,166,3.1,0,0,3.746,4018,21849,1
Cardio,0,736,115,146,2.2,0,0,1.916,2708,6700,1
Strength,0,411,114,179,2.1,187,18,1.011,2489,3676,0
Strength,0,193,113,138,1.1,242,23,0.494,2430,3435,0
Cardio,0,401,136,172,3.0,0,0,0.624,2564,6396,1
Cardio,0,426,140,179,3.1,0,0,0.623,2622,5643,0
Cardio,0,1102,118,154,2.5,0,0,2.889,2976,8535,1
Strength,0,282,90,156,1.7,201,16,1.169,2519,6411,1
Hockey,0,979,153,190,4.7,0,0,1.239,3074,1400,0
Strength,0,135,98,121,0.4,149,14,0.468,2373,4843,0
Strength,0,154,103,135,0.6,213,17,0.493,2320,3967,0
Cardio,0,1030,120,156,2.6,0,0,2.576,3315,10549,1
Strength,0,327,97,182,1.7,309,27,1.152,3315,10549,1
